0, 0.00917138, 0.0119404, -7.68895, -0.242938, 1.91725, 0.00316524
0.02, 0.00925157, 0.0116881, -7.6889, -0.241391, 1.92005, 0.0030942
0.04, 0.00933261, 0.0114294, -7.68885, -0.239816, 1.92281, 0.0030209
0.06, 0.00941523, 0.0111642, -7.68879, -0.238215, 1.92556, 0.00294525
0.08, 0.00950008, 0.0108924, -7.68874, -0.236587, 1.92828, 0.00286718
0.1, 0.00958749, 0.0106141, -7.68868, -0.234933, 1.93098, 0.0027867
0.12, 0.00967803, 0.0103292, -7.68861, -0.233254, 1.93366, 0.00270374
0.14, 0.00977179, 0.0100378, -7.68855, -0.231551, 1.9363, 0.00261834
0.16, 0.00986914, 0.00973985, -7.68847, -0.229825, 1.93893, 0.00253046
0.18, 0.00997005, 0.00943567, -7.6884, -0.228075, 1.94153, 0.0024402
0.2, 0.0100744, 0.0091252, -7.68832, -0.226302, 1.9441, 0.00234755
0.22, 0.0101822, 0.00880883, -7.68823, -0.224508, 1.94664, 0.00225262
0.24, 0.0102931, 0.00848673, -7.68814, -0.222693, 1.94916, 0.00215551
0.261, 0.0104067, 0.00815939, -7.68804, -0.220857, 1.95165, 0.00205636
0.281, 0.0105226, 0.0078269, -7.68794, -0.219002, 1.95412, 0.00195524
0.301, 0.0106403, 0.00748988, -7.68783, -0.217127, 1.95656, 0.00185236
0.321, 0.0107591, 0.00714878, -7.68772, -0.215235, 1.95897, 0.0017479
0.341, 0.0108783, 0.00680395, -7.68761, -0.213324, 1.96135, 0.00164199
0.361, 0.0109972, 0.00645606, -7.68749, -0.211397, 1.96371, 0.00153489
0.381, 0.0111152, 0.00610543, -7.68737, -0.209453, 1.96604, 0.00142673
0.401, 0.0112313, 0.00575289, -7.68725, -0.207495, 1.96834, 0.00131781
0.421, 0.0113448, 0.00539872, -7.68713, -0.205521, 1.97062, 0.00120825
0.441, 0.0114548, 0.0050436, -7.687, -0.203533, 1.97287, 0.0010983
0.461, 0.0115605, 0.00468814, -7.68687, -0.201532, 1.97509, 0.000988183
0.481, 0.0116613, 0.00433278, -7.68675, -0.199519, 1.97729, 0.000878074
0.501, 0.0117564, 0.00397793, -7.68662, -0.197493, 1.97946, 0.000768133
0.521, 0.0118449, 0.00362426, -7.68649, -0.195457, 1.98161, 0.000658599
0.541, 0.0119265, 0.00327213, -7.68637, -0.19341, 1.98373, 0.000549596
0.561, 0.0120004, 0.00292188, -7.68624, -0.191354, 1.98582, 0.000441266
0.581, 0.0120661, 0.00257376, -7.68612, -0.189289, 1.98789, 0.000333696
0.601, 0.0121235, 0.00222813, -7.686, -0.187216, 1.98993, 0.000227005
0.621, 0.0121719, 0.00188521, -7.68588, -0.185136, 1.99194, 0.000121274
0.641, 0.0122112, 0.00154518, -7.68577, -0.183049, 1.99393, 1.65699e-05
0.661, 0.0122413, 0.00120786, -7.68566, -0.180957, 1.9959, -8.7177e-05
0.681, 0.0122621, 0.00087357, -7.68555, -0.17886, 1.99783, -0.000189869
0.701, 0.0122736, 0.000542096, -7.68544, -0.176758, 1.99975, -0.000291583
0.721, 0.0122759, 0.000213259, -7.68534, -0.174654, 2.00163, -0.000392389
0.741, 0.0122694, -0.000113089, -7.68525, -0.172547, 2.00349, -0.000492357
0.762, 0.012254, -0.000437137, -7.68515, -0.170439, 2.00533, -0.000591559
0.782, 0.0122303, -0.000759222, -7.68506, -0.16833, 2.00714, -0.000690131
0.802, 0.0121987, -0.00107975, -7.68498, -0.166221, 2.00892, -0.000788224
0.822, 0.0121595, -0.00139898, -7.68489, -0.164113, 2.01068, -0.000885948
0.842, 0.0121132, -0.00171742, -7.68481, -0.162008, 2.01241, -0.000983495
0.862, 0.0120605, -0.00203532, -7.68474, -0.159904, 2.01412, -0.00108097
0.882, 0.0120018, -0.00235325, -7.68467, -0.157804, 2.01579, -0.00117858
0.902, 0.0119378, -0.00267158, -7.6846, -0.155709, 2.01745, -0.00127647
0.922, 0.0118689, -0.00299071, -7.68453, -0.153619, 2.01907, -0.0013748
0.942, 0.0117958, -0.00331097, -7.68446, -0.151534, 2.02067, -0.0014737
0.962, 0.0117191, -0.00363275, -7.6844, -0.149457, 2.02224, -0.00157332
0.982, 0.0116392, -0.00395633, -7.68434, -0.147388, 2.02379, -0.00167376
1.002, 0.0115567, -0.00428204, -7.68428, -0.145327, 2.02531, -0.00177516
1.022, 0.0114719, -0.00460995, -7.68423, -0.143275, 2.0268, -0.00187755
1.042, 0.0113856, -0.00494034, -7.68418, -0.141235, 2.02827, -0.00198103
1.062, 0.0112979, -0.00527329, -7.68413, -0.139204, 2.02971, -0.00208564
1.082, 0.0112092, -0.00560868, -7.68408, -0.137186, 2.03112, -0.00219135
1.102, 0.0111197, -0.00594654, -7.68403, -0.13518, 2.0325, -0.00229818
1.122, 0.0110298, -0.00628674, -7.68399, -0.133188, 2.03386, -0.00240608
1.142, 0.0109396, -0.00662901, -7.68395, -0.13121, 2.0352, -0.00251495
1.162, 0.0108492, -0.0069732, -7.68391, -0.129247, 2.03651, -0.00262477
1.182, 0.0107587, -0.00731884, -7.68387, -0.1273, 2.03779, -0.00273535
1.202, 0.0106681, -0.00766582, -7.68384, -0.125369, 2.03905, -0.00284667
1.222, 0.0105774, -0.00801348, -7.68381, -0.123456, 2.04028, -0.00295848
1.242, 0.0104865, -0.00836158, -7.68378, -0.121559, 2.04149, -0.00307072
1.263, 0.0103954, -0.00870956, -7.68376, -0.119682, 2.04267, -0.00318318
1.283, 0.0103039, -0.00905694, -7.68374, -0.117824, 2.04383, -0.00329568
