0, 0.477879, 0.248178, -7.73332, -0.0478382, 1.81155, 0.0830161
0.02, 0.477052, 0.248029, -7.72908, -0.0462153, 1.81338, 0.083927
0.04, 0.476184, 0.247876, -7.72485, -0.0445711, 1.81519, 0.0848403
0.06, 0.475276, 0.247721, -7.72062, -0.042907, 1.817, 0.085756
0.08, 0.47433, 0.247561, -7.71638, -0.041223, 1.81879, 0.0866736
0.1, 0.473346, 0.247397, -7.71215, -0.0395203, 1.82058, 0.0875933
0.12, 0.472323, 0.247229, -7.70792, -0.0377993, 1.82235, 0.0885146
0.14, 0.471264, 0.247057, -7.70369, -0.0360611, 1.8241, 0.0894377
0.16, 0.470168, 0.246881, -7.69945, -0.0343063, 1.82585, 0.0903623
0.18, 0.469036, 0.246701, -7.69522, -0.0325355, 1.82758, 0.0912881
0.2, 0.467867, 0.246518, -7.69099, -0.0307499, 1.8293, 0.0922156
0.22, 0.466663, 0.246331, -7.68676, -0.0289497, 1.831, 0.0931441
0.24, 0.465421, 0.246141, -7.68253, -0.027136, 1.83269, 0.0940741
0.261, 0.464142, 0.24595, -7.6783, -0.0253095, 1.83437, 0.0950055
0.281, 0.462827, 0.245756, -7.67408, -0.0234708, 1.83603, 0.095938
0.301, 0.461473, 0.245561, -7.66986, -0.0216209, 1.83768, 0.096872
0.321, 0.460082, 0.245366, -7.66565, -0.0197603, 1.83932, 0.0978074
0.341, 0.458652, 0.245171, -7.66144, -0.0178894, 1.84094, 0.0987442
0.361, 0.457181, 0.244978, -7.65723, -0.0160098, 1.84255, 0.0996828
0.381, 0.455671, 0.244786, -7.65304, -0.014121, 1.84415, 0.100623
0.401, 0.454118, 0.244597, -7.64886, -0.0122252, 1.84574, 0.101564
0.421, 0.452524, 0.244412, -7.64468, -0.0103216, 1.84731, 0.102508
0.441, 0.450888, 0.244231, -7.64052, -0.00841191, 1.84888, 0.103453
0.461, 0.449207, 0.244056, -7.63637, -0.00649677, 1.85043, 0.1044
0.481, 0.447482, 0.243886, -7.63224, -0.00457639, 1.85197, 0.105349
0.501, 0.445712, 0.243723, -7.62812, -0.00265189, 1.85351, 0.1063
0.521, 0.443896, 0.243568, -7.62402, -0.0007236, 1.85503, 0.107252
0.541, 0.442035, 0.24342, -7.61993, 0.00120731, 1.85655, 0.108206
0.561, 0.440126, 0.243282, -7.61587, 0.00314017, 1.85805, 0.109163
0.581, 0.43817, 0.243151, -7.61182, 0.00507429, 1.85955, 0.11012
0.601, 0.436168, 0.24303, -7.6078, 0.00700927, 1.86104, 0.111079
0.621, 0.434118, 0.242918, -7.6038, 0.0089434, 1.86252, 0.112039
0.641, 0.43202, 0.242815, -7.59982, 0.0108767, 1.86399, 0.113
0.661, 0.429875, 0.242721, -7.59587, 0.0128085, 1.86546, 0.113961
0.681, 0.427683, 0.242637, -7.59194, 0.0147372, 1.86692, 0.114923
0.701, 0.425444, 0.242562, -7.58804, 0.0166629, 1.86837, 0.115885
0.721, 0.423159, 0.242494, -7.58417, 0.0185841, 1.86981, 0.116847
0.741, 0.420829, 0.242435, -7.58032, 0.0205001, 1.87125, 0.117808
0.762, 0.418453, 0.242384, -7.5765, 0.0224103, 1.87268, 0.118767
0.782, 0.416033, 0.242338, -7.5727, 0.0243135, 1.8741, 0.119725
0.802, 0.41357, 0.242299, -7.56894, 0.0262091, 1.87552, 0.120681
0.822, 0.411064, 0.242266, -7.5652, 0.0280961, 1.87693, 0.121634
