PWM (mus);RPM;Current (A);Voltage (V);Power (W);Efficiency (g/W);Force (N)
1100;3233;20,71;14;289,9;12,1;-35,2
1104;3244;20,63;14;288,8;12,1;-35,0
1108;3206;20,47;14;286,6;12,2;-34,9
1112;3202;19,9;14;278,6;12,4;-34,5
1116;3174;19,45;14;272,3;12,5;-34,0
1120;3160;18,96;14;265,4;12,6;-33,6
1124;3143;18,39;14;257,5;12,8;-32,9
1128;3121;18,0;14;252,0;12,9;-32,5
1132;3107;17,37;14;243,2;13,1;-31,9
1136;3071;16,96;14;237,4;13,2;-31,4
1140;3049;16,54;14;231,6;13,4;-31,0
1144;3025;16,04;14;224,6;13,6;-30,6
1148;3004;15,64;14;219,0;13,7;-30,0
1152;2979;15,19;14;212,7;13,8;-29,4
1156;2954;14,71;14;205,9;14,0;-28,8
1160;2937;14,33;14;200,6;14,2;-28,5
1164;2914;13,93;14;195,0;14,3;-27,8
1168;2883;13,57;14;190,0;14,5;-27,6
1172;2861;13,1;14;183,4;14,7;-26,9
1176;2847;12,7;14;177,8;14,9;-26,4
1180;2815;12,4;14;173,6;14,9;-25,9
1184;2802;11,9;14;166,6;15,2;-25,3
1188;2776;11,6;14;162,4;15,3;-24,9
1192;2740;11,3;14;158,2;15,5;-24,5
1196;2705;11,0;14;154,0;15,6;-24,1
1200;2697;10,6;14;148,4;15,8;-23,5
1204;2659;10,36;14;145,0;16,1;-23,4
1208;2658;9,93;14;139,0;16,2;-22,6
1212;2619;9,67;14;135,4;16,3;-22,0
1216;2598;9,33;14;130,6;16,7;-21,8
1220;2566;9,0;14;126,0;16,8;-21,2
1224;2543;8,7;14;121,8;16,9;-20,5
1228;2504;8,4;14;117,6;17,2;-20,3
1232;2482;8,0;14;112,0;17,7;-19,9
1236;2452;7,7;14;107,8;17,7;-19,1
1240;2418;7,4;14;103,6;18,3;-18,9
1244;2405;7,04;14;98,6;18,5;-18,2
1248;2366;6,8;14;95,2;18,5;-17,6
1252;2331;6,5;14;91,0;18,9;-17,2
1256;2302;6,29;14;88,1;19,1;-16,8
1260;2271;6,0;14;84,0;19,4;-16,3
1264;2246;5,77;14;80,8;19,5;-15,8
1268;2221;5,5;14;77,0;20,3;-15,6
1272;2194;5,34;14;74,8;20,3;-15,2
1276;2171;5,1;14;71,4;20,7;-14,8
1280;2139;4,9;14;68,6;21,0;-14,4
1284;2116;4,7;14;65,8;21,3;-14,0
1288;2081;4,5;14;63,0;21,7;-13,7
1292;2056;4,29;14;60,1;22,1;-13,2
1296;2023;4,1;14;57,4;22,4;-12,8
1300;1995;3,9;14;54,6;22,7;-12,4
1304;1959;3,7;14;51,8;23,0;-11,9
1308;1930;3,5;14;49,0;23,8;-11,7
1312;1896;3,3;14;46,2;24,3;-11,2
1316;1873;3,2;14;44,8;24,3;-10,9
1320;1838;3,0;14;42,0;25,1;-10,5
1324;1813;2,9;14;40,6;25,0;-10,2
1328;1785;2,7;14;37,8;26,0;-9,8
1332;1754;2,5;14;35,0;27,2;-9,5
1336;1724;2,3;14;32,2;28,5;-9,2
1340;1689;2,2;14;30,8;28,7;-8,8
1344;1659;2,0;14;28,0;30,3;-8,5
1348;1625;1,9;14;26,6;30,4;-8,1
1352;1590;1,7;14;23,8;32,2;-7,7
1356;1552;1,6;14;22,4;33,0;-7,4
1360;1523;1,5;14;21,0;33,5;-7,0
1364;1487;1,4;14;19,6;34,7;-6,8
1368;1455;1,3;14;18,2;35,6;-6,5
1372;1421;1,2;14;16,8;37,0;-6,2
1376;1375;1,1;14;15,4;38,0;-5,9
1380;1341;1,0;14;14,0;39,2;-5,5
1384;1307;0,9;14;12,6;41,0;-5,2
1388;1268;0,8;14;11,2;43,7;-4,9
1392;1233;0,8;14;11,2;41,3;-4,6
1396;1188;0,7;14;9,8;43,5;-4,3
1400;1150;0,6;14;8,4;47,5;-4,0
1404;1106;0,5;14;7,0;53,1;-3,7
1408;1064;0,5;14;7,0;49,9;-3,5
1412;1018;0,4;14;5,6;56,7;-3,2
