PWM (mus);RPM;Current (A);Voltage (V);Power (W);Efficiency (g/W);Force (N)
1416;974;0,4;14;5,6;51,0;-2,9
1420;929;0,3;14;4,2;61,6;-2,6
1424;886;0,3;14;4,2;56,2;-2,4
1428;834;0,2;14;2,8;74,5;-2,1
1432;786;0,2;14;2,8;66,4;-1,9
1436;735;0,2;14;2,8;58,3;-1,6
1440;683;0,11;14;1,5;94,3;-1,5
1444;628;0,1;14;1,4;87,5;-1,2
1448;575;0,1;14;1,4;71,3;-1,0
1452;518;0,05;14;0,7;116,6;-0,8
1456;463;0,05;14;0,7;97,2;-0,7
1460;400;0,05;14;0,7;64,8;-0,5
1464;342;0,05;14;0,7;45,4;-0,3
1468;0;0,0;14;0,0;0,0;0,0
1472;0;0,0;14;0,0;0,0;0,0
1476;0;0,0;14;0,0;0,0;0,0
1480;0;0,0;14;0,0;0,0;0,0
1484;0;0,0;14;0,0;0,0;0,0
1488;0;0,0;14;0,0;0,0;0,0
1492;0;0,0;14;0,0;0,0;0,0
1496;0;0,0;14;0,0;0,0;0,0
1500;0;0,0;14;0,0;0,0;0,0
1504;0;0,0;14;0,0;0,0;0,0
1508;0;0,0;14;0,0;0,0;0,0
1512;0;0,0;14;0,0;0,0;0,0
1516;0;0,0;14;0,0;0,0;0,0
1520;0;0,0;14;0,0;0,0;0,0
1524;0;0,0;14;0,0;0,0;0,0
1528;0;0,0;14;0,0;0,0;0,0
1532;0;0,0;14;0,0;0,0;0,0
1536;344;0,05;14;0,7;64,8;0,5
1540;399;0,05;14;0,7;90,7;0,6
1544;461;0,05;14;0,7;116,6;0,8
1548;515;0,01;14;1,4;71,4;1,0
1552;573;0,1;14;1,4;87,5;1,2
1556;626;0,1;14;1,4;103,7;1,5
1560;675;0,13;14;1,8;97,2;1,8
1564;731;0,2;14;2,8;71,3;2,0
1568;777;0,2;14;2,8;81,0;2,3
1572;824;0,2;14;2,8;94,0;2,6
1576;876;0,3;14;4,2;69,1;2,9
1580;917;0,4;14;5,6;58,3;3,3
1584;967;0,4;14;5,6;64,8;3,6
1588;1007;0,44;14;6,2;64,1;3,9
1592;1048;0,5;14;7,0;60,9;4,3
1596;1092;0,6;14;8,4;55,1;4,6
1600;1136;0,7;14;9,8;50,9;5,0
1604;1169;0,7;14;9,8;54,2;5,3
1608;1214;0,8;14;11,2;51,4;5,8
1612;1252;0,9;14;12,6;49,3;6,2
1616;1287;1,0;14;14,0;46,0;6,4
1620;1322;1,0;14;14,0;49,2;6,9
1624;1354;1,18;14;16,5;43,9;7,3
1628;1397;1,3;14;18,2;42,1;7,7
1632;1432;1,34;14;18,8;44,0;8,3
1636;1470;1,5;14;21,0;40,4;8,5
1640;1499;1,6;14;22,4;39,7;8,9
1644;1532;1,7;14;23,8;38,7;9,2
1648;1562;1,8;14;25,2;38,3;9,7
1652;1597;1,9;14;26,6;37,5;10,0
1656;1628;2,1;14;29,4;35,8;10,5
1660;1669;2,2;14;30,8;35,5;10,9
1664;1700;2,3;14;32,2;35,5;11,4
1668;1731;2,56;14;35,8;33,5;12,0
1672;1761;2,8;14;39,2;31,5;12,3
1676;1793;2,9;14;40,6;31,5;12,8
1680;1817;3,1;14;43,4;30,5;13,2
1684;1849;3,2;14;44,8;30,5;13,7
1688;1878;3,4;14;47,6;29,5;14,1
1692;1912;3,57;14;50,0;29,2;14,6
1696;1934;3,7;14;51,8;29,2;15,1
1700;1967;3,9;14;54,6;28,4;15,5
1704;1999;4,1;14;57,4;28,0;16,1
1708;2032;4,31;14;60,3;27,4;16,5
1712;2064;4,51;14;63,1;27,1;17,1
1716;2085;4,79;14;67,1;26,2;17,6
1720;2114;5,0;14;70,0;25,9;18,1
1724;2145;5,2;14;72,8;25,4;18,5
1728;2175;5,4;14;75,6;25,3;19,1
1732;2201;5,6;14;78,4;25,1;19,6
1736;2228;5,8;14;81,2;24,7;20,0
1740;2245;6,1;14;85,4;24,4;20,9
1744;2285;6,3;14;88,2;24,0;21,2
1748;2312;6,57;14;92,0;23,5;21,6
1752;2337;6,8;14;95,2;23,6;22,5
1756;2375;7,1;14;99,4;22,8;22,7
1760;2411;7,4;14;103,6;22,6;23,4
1764;2437;7,74;14;108,4;22,4;24,3
1768;2464;8,09;14;113,3;22,1;25,0
1772;2498;8,4;14;117,6;21,8;25,6
1776;2539;8,7;14;121,8;21,6;26,4
1780;2583;8,95;14;125,3;21,2;26,6
1784;2592;9,39;14;131,5;21,0;27,6
1788;2617;9,6;14;134,4;20,7;27,8
1792;2652;10,0;14;140,0;20,6;28,8
1796;2659;10,3;14;144,2;20,4;29,3
1800;2693;10,6;14;148,4;20,2;29,9
1804;2714;10,86;14;152,0;20,0;30,5
1808;2751;11,29;14;158,1;19,8;31,3
1812;2773;11,57;14;162,0;19,7;31,9
1816;2795;11,9;14;166,6;19,4;32,3
1820;2815;12,3;14;172,2;19,3;33,2
1824;2855;12,6;14;176,4;19,1;33,6
1828;2878;12,95;14;181,3;18,9;34,2
1832;2901;13,37;14;187,2;18,7;34,9
1836;2926;13,72;14;192,1;18,6;35,7
1840;2957;14,14;14;198,0;18,3;36,2
1844;2984;14,5;14;203,0;18,2;36,9
1848;3011;14,96;14;209,4;18,0;37,7
1852;3035;15,36;14;215,0;17,8;38,4
1856;3048;15,89;14;222,5;17,6;39,2
1860;3087;16,24;14;227,4;17,5;39,8
1864;3114;16,72;14;234,1;17,2;40,3
1868;3139;17,18;14;240,5;17,1;41,1
1872;3159;17,65;14;247,1;16,8;41,5
1876;3183;18,08;14;253,1;16,6;42,1
1880;3195;18,63;14;260,8;16,5;43,0
1884;3218;19,08;14;267,1;16,4;43,8
1888;3243;19,56;14;273,8;16,2;44,2
1892;3263;20,07;14;281,0;16,0;45,1
1896;3288;20,29;14;284,1;15,9;45,3
1900;3279;20,36;14;285,0;15,9;45,2
