PWM (mus);RPM;Current (A);Voltage (V);Power (W);Efficiency (g/W);Force (N)
1100,0;2662,0;13,62;10,0;136,2;17,0;-23,1
1104,0;2667,0;13,63;10,0;136,3;16,9;-23,0
1108,0;2661,0;13,45;10,0;134,5;17,1;-23,0
1112,0;2627,0;13,2;10,0;132,0;17,3;-22,8
1116,0;2617,0;12,81;10,0;128,1;17,4;-22,2
1120,0;2600,0;12,5;10,0;125,0;17,5;-21,8
1124,0;2590,0;12,14;10,0;121,4;17,8;-21,6
1128,0;2562,0;11,96;10,0;119,6;17,8;-21,3
1132,0;2535,0;11,63;10,0;116,3;18,1;-21,1
1136,0;2528,0;11,32;10,0;113,2;18,2;-20,5
1140,0;2514,0;11,0;10,0;110,0;18,6;-20,4
1144,0;2484,0;10,8;10,0;108,0;18,4;-19,9
1148,0;2472,0;10,45;10,0;104,5;18,7;-19,5
1152,0;2449,0;10,2;10,0;102,0;18,9;-19,3
1156,0;2436,0;9,9;10,0;99,0;19,1;-18,9
1160,0;2416,0;9,56;10,0;95,6;19,2;-18,4
1164,0;2395,0;9,29;10,0;92,9;19,5;-18,1
1168,0;2371,0;9,1;10,0;91,0;19,7;-17,9
1172,0;2344,0;8,8;10,0;88,0;19,9;-17,6
1176,0;2332,0;8,5;10,0;85,0;20,2;-17,1
1180,0;2306,0;8,3;10,0;83,0;20,3;-16,8
1184,0;2283,0;8,05;10,0;80,5;20,5;-16,5
1188,0;2271,0;7,71;10,0;77,1;21,0;-16,2
1192,0;2241,0;7,57;10,0;75,7;21,0;-15,9
1196,0;2219,0;7,3;10,0;73,0;21,3;-15,6
1200,0;2198,0;7,1;10,0;71,0;21,7;-15,4
1204,0;2177,0;6,82;10,0;68,2;22,0;-15,0
1208,0;2157,0;6,6;10,0;66,0;22,3;-14,7
1212,0;2129,0;6,48;10,0;64,8;22,3;-14,4
1216,0;2106,0;6,2;10,0;62,0;22,8;-14,1
1220,0;2094,0;6,0;10,0;60,0;22,7;-13,6
1224,0;2073,0;5,8;10,0;58,0;22,9;-13,3
1228,0;2046,0;5,6;10,0;56,0;23,6;-13,2
1232,0;2024,0;5,4;10,0;54,0;23,9;-12,9
1236,0;2005,0;5,2;10,0;52,0;24,2;-12,6
1240,0;1982,0;5,0;10,0;50,0;24,4;-12,2
1244,0;1957,0;4,84;10,0;48,4;24,6;-11,9
1248,0;1936,0;4,64;10,0;46,4;25,1;-11,7
1252,0;1907,0;4,5;10,0;45,0;25,3;-11,4
1256,0;1885,0;4,3;10,0;43,0;25,5;-11,0
1260,0;1864,0;4,1;10,0;41,0;26,2;-10,8
1264,0;1834,0;3,9;10,0;39,0;27,1;-10,6
1268,0;1816,0;3,73;10,0;37,3;27,2;-10,2
1272,0;1789,0;3,6;10,0;36,0;27,5;-9,9
1276,0;1762,0;3,5;10,0;35,0;27,7;-9,7
1280,0;1745,0;3,3;10,0;33,0;28,2;-9,3
1284,0;1717,0;3,2;10,0;32,0;28,3;-9,1
1288,0;1697,0;3,0;10,0;30,0;29,3;-8,8
1292,0;1671,0;2,9;10,0;29,0;29,4;-8,5
1296,0;1643,0;2,8;10,0;28,0;29,5;-8,3
1300,0;1615,0;2,6;10,0;26,0;30,7;-8,0
1304,0;1591,0;2,4;10,0;24,0;32,5;-7,8
1308,0;1562,0;2,3;10,0;23,0;32,7;-7,5
1312,0;1539,0;2,1;10,0;21,0;34,3;-7,2
1316,0;1516,0;2,0;10,0;20,0;34,9;-7,0
1320,0;1488,0;1,9;10,0;19,0;35,3;-6,7
1324,0;1461,0;1,8;10,0;18,0;36,3;-6,5
1328,0;1440,0;1,7;10,0;17,0;37,1;-6,3
1332,0;1411,0;1,6;10,0;16,0;38,3;-6,1
1336,0;1382,0;1,5;10,0;15,0;38,7;-5,8
1340,0;1347,0;1,4;10,0;14,0;39,5;-5,5
1344,0;1320,0;1,3;10,0;13,0;40,8;-5,3
1348,0;1294,0;1,2;10,0;12,0;42,7;-5,1
1352,0;1265,0;1,2;10,0;12,0;40,4;-4,9
1356,0;1239,0;1,1;10,0;11,0;42,5;-4,7
1360,0;1200,0;1,0;10,0;10,0;44,5;-4,4
1364,0;1174,0;0,9;10,0;9,0;46,9;-4,2
1368,0;1142,0;0,8;10,0;8,0;49,9;-4,0
1372,0;1114,0;0,8;10,0;8,0;47,6;-3,8
1376,0;1080,0;0,7;10,0;7,0;50,5;-3,5
1380,0;1048,0;0,7;10,0;7,0;48,0;-3,4
1384,0;1016,0;0,6;10,0;6,0;52,2;-3,1
1388,0;986,0;0,5;10,0;5,0;59,0;-2,9
1392,0;948,0;0,5;10,0;5,0;55,3;-2,8
1396,0;916,0;0,4;10,0;4,0;62,4;-2,5
1400,0;883,0;0,4;10,0;4,0;59,0;-2,4
1404,0;845,0;0,4;10,0;4,0;53,3;-2,1
1408,0;813,0;0,3;10,0;3,0;66,5;-2,0
1412,0;774,0;0,22;10,0;2,2;82,5;-1,8
1416,0;740,0;0,2;10,0;2,0;81,6;-1,6
1420,0;701,0;0,2;10,0;2,0;77,1;-1,5
1424,0;664,0;0,2;10,0;2,0;68,0;-1,4
1428,0;624,0;0,2;10,0;2,0;59,0;-1,2
1432,0;584,0;0,1;10,0;1,0;99,8;-1,0
1436,0;545,0;0,1;10,0;1,0;86,2;-0,9
1440,0;504,0;0,1;10,0;1,0;72,6;-0,7
1444,0;462,0;0,05;10,0;0,5;127,0;-0,6
1448,0;421,0;0,05;10,0;0,5;108,9;-0,5
1452,0;377,0;0,05;10,0;0,5;90,7;-0,5
1456,0;335,0;0,05;10,0;0,5;63,5;-0,3
1460,0;0,0;0,0;10,0;0,0;0,0;0,0
1464,0;0,0;0,0;10,0;0,0;0,0;0,0
1468,0;0,0;0,0;10,0;0,0;0,0;0,0
1472,0;0,0;0,0;10,0;0,0;0,0;0,0
1476,0;0,0;0,0;10,0;0,0;0,0;0,0
1480,0;0,0;0,0;10,0;0,0;0,0;0,0
1484,0;0,0;0,0;10,0;0,0;0,0;0,0
1488,0;0,0;0,0;10,0;0,0;0,0;0,0
1492,0;0,0;0,0;10,0;0,0;0,0;0,0
1496,0;0,0;0,0;10,0;0,0;0,0;0,0
1500,0;0,0;0,0;10,0;0,0;0,0;0,0
1504,0;0,0;0,0;10,0;0,0;0,0;0,0
1508,0;0,0;0,0;10,0;0,0;0,0;0,0
1512,0;0,0;0,0;10,0;0,0;0,0;0,0
1516,0;0,0;0,0;10,0;0,0;0,0;0,0
1520,0;0,0;0,0;10,0;0,0;0,0;0,0
1524,0;0,0;0,0;10,0;0,0;0,0;0,0
1528,0;0,0;0,0;10,0;0,0;0,0;0,0
1532,0;0,0;0,0;10,0;0,0;0,0;0,0
1536,0;0,0;0,0;10,0;0,0;0,0;0,0
1540,0;0,0;0,0;10,0;0,0;0,0;0,0
1544,0;332,0;0,05;10,0;0,5;81,6;0,4
1548,0;373,0;0,05;10,0;0,5;108,9;0,5
1552,0;417,0;0,05;10,0;0,5;136,1;0,7
1556,0;459,0;0,1;10,0;1,0;77,1;0,8
1560,0;500,0;0,1;10,0;1,0;90,7;0,9
1564,0;540,0;0,1;10,0;1,0;108,9;1,1
1568,0;582,0;0,1;10,0;1,0;127,0;1,3
1572,0;621,0;0,2;10,0;2,0;72,6;1,5
1576,0;657,0;0,2;10,0;2,0;81,6;1,6
1580,0;695,0;0,2;10,0;2,0;90,7;1,8
1584,0;733,0;0,2;10,0;2,0;102,1;2,0
1588,0;766,0;0,3;10,0;3,0;74,1;2,2
1592,0;805,0;0,3;10,0;3,0;81,6;2,4
1596,0;836,0;0,4;10,0;4,0;65,8;2,6
1600,0;873,0;0,4;10,0;4,0;72,6;2,9
1604,0;906,0;0,47;10,0;4,7;66,6;3,1
1608,0;938,0;0,5;10,0;5,0;67,1;3,4
1612,0;974,0;0,5;10,0;5,0;72,6;3,6
1616,0;1007,0;0,6;10,0;6,0;64,3;3,9
1620,0;1035,0;0,7;10,0;7,0;59,0;4,1
1624,0;1066,0;0,7;10,0;7,0;63,5;4,4
1628,0;1101,0;0,8;10,0;8,0;58,4;4,7
1632,0;1129,0;0,83;10,0;8,3;59,6;4,9
1636,0;1159,0;0,94;10,0;9,4;55,5;5,2
1640,0;1188,0;1,0;10,0;10,0;54,9;5,5
1644,0;1219,0;1,1;10,0;11,0;52,8;5,8
1648,0;1250,0;1,2;10,0;12,0;50,7;6,1
1652,0;1278,0;1,3;10,0;13,0;49,2;6,4
1656,0;1303,0;1,4;10,0;14,0;48,9;6,8
1660,0;1330,0;1,5;10,0;15,0;46,9;7,0
1664,0;1363,0;1,5;10,0;15,0;48,4;7,3
1668,0;1392,0;1,6;10,0;16,0;47,6;7,6
1672,0;1418,0;1,8;10,0;18,0;44,4;8,0
1676,0;1445,0;1,9;10,0;19,0;43,4;8,3
1680,0;1473,0;2,0;10,0;20,0;42,6;8,5
