PWM (mus);RPM;Current (A);Voltage (V);Power (W);Efficiency (g/W);Force (N)
1684,0;1496,0;2,1;10,0;21,0;42,3;8,9
1688,0;1519,0;2,2;10,0;22,0;41,9;9,2
1692,0;1542,0;2,3;10,0;23,0;41,2;9,5
1696,0;1571,0;2,43;10,0;24,3;40,1;9,8
1700,0;1596,0;2,7;10,0;27,0;36,0;9,7
1704,0;1622,0;2,8;10,0;28,0;37,4;10,5
1708,0;1650,0;2,9;10,0;29,0;37,1;10,8
1712,0;1674,0;3,1;10,0;31,0;35,8;11,1
1716,0;1696,0;3,3;10,0;33,0;35,3;11,7
1720,0;1720,0;3,4;10,0;34,0;34,8;11,8
1724,0;1747,0;3,5;10,0;35,0;34,5;12,1
1728,0;1765,0;3,7;10,0;37,0;33,5;12,4
1732,0;1793,0;3,84;10,0;38,4;33,2;12,7
1736,0;1819,0;4,0;10,0;40,0;32,8;13,1
1740,0;1833,0;4,2;10,0;42,0;32,3;13,6
1744,0;1860,0;4,4;10,0;44,0;32,1;14,1
1748,0;1889,0;4,5;10,0;45,0;31,8;14,3
1752,0;1911,0;4,7;10,0;47,0;31,5;14,8
1756,0;1933,0;4,9;10,0;49,0;31,1;15,2
1760,0;1962,0;5,1;10,0;51,0;30,3;15,5
1764,0;1984,0;5,3;10,0;53,0;29,8;15,8
1768,0;2004,0;5,5;10,0;55,0;29,5;16,2
1772,0;2027,0;5,7;10,0;57,0;29,0;16,6
1776,0;2052,0;5,9;10,0;59,0;28,7;16,9
1780,0;2075,0;6,09;10,0;60,9;28,4;17,3
1784,0;2093,0;6,3;10,0;63,0;28,2;17,7
1788,0;2118,0;6,5;10,0;65,0;27,7;18,0
1792,0;2140,0;6,73;10,0;67,3;27,4;18,5
1796,0;2160,0;6,9;10,0;69,0;27,2;18,8
1800,0;2179,0;7,13;10,0;71,3;26,8;19,1
1804,0;2200,0;7,4;10,0;74,0;26,9;19,9
1808,0;2225,0;7,6;10,0;76,0;26,3;20,0
1812,0;2245,0;7,9;10,0;79,0;26,1;20,6
1816,0;2273,0;8,1;10,0;81,0;25,8;20,9
1820,0;2293,0;8,33;10,0;83,3;25,5;21,2
1824,0;2307,0;8,64;10,0;86,4;25,1;21,7
1828,0;2333,0;8,89;10,0;88,9;24,9;22,1
1832,0;2353,0;9,14;10,0;91,4;24,9;22,7
1836,0;2378,0;9,4;10,0;94,0;24,5;23,0
1840,0;2398,0;9,7;10,0;97,0;24,4;23,6
1844,0;2410,0;10,0;10,0;100,0;24,1;24,1
1848,0;2436,0;10,2;10,0;102,0;24,1;24,5
1852,0;2453,0;10,5;10,0;105,0;23,6;24,8
1856,0;2481,0;10,79;10,0;107,9;23,7;25,5
1860,0;2499,0;11,04;10,0;110,4;23,4;25,8
1864,0;2522,0;11,35;10,0;113,5;23,1;26,2
1868,0;2543,0;11,6;10,0;116,0;22,8;26,5
1872,0;2558,0;11,9;10,0;119,0;22,6;26,9
1876,0;2575,0;12,28;10,0;122,8;22,3;27,4
1880,0;2602,0;12,44;10,0;124,4;22,3;27,7
1884,0;2613,0;12,8;10,0;128,0;22,0;28,2
1888,0;2633,0;13,13;10,0;131,3;21,9;28,8
1892,0;2657,0;13,4;10,0;134,0;21,6;28,9
1896,0;2665,0;13,62;10,0;136,2;21,4;29,2
1900,0;2668,0;13,6;10,0;136,0;21,5;29,3
