PWM (mus);RPM;Current (A);Voltage (V);Power (W);Efficiency (g/W);Force (N)
1616;1419;1,2;18;21,6;37,2;8,0
1620;1456;1,3;18;23,4;35,9;8,4
1624;1493;1,38;18;24,8;35,4;8,8
1628;1527;1,5;18;27,0;33,9;9,2
1632;1564;1,6;18;28,8;33,5;9,7
1636;1599;1,7;18;30,6;33,2;10,2
1640;1637;1,83;18;32,9;32,6;10,8
1644;1679;2,0;18;36,0;31,5;11,3
1648;1716;2,1;18;37,8;31,2;11,8
1652;1747;2,3;18;41,4;29,6;12,2
1656;1783;2,47;18;44,5;28,8;12,8
1660;1817;2,7;18;48,6;27,2;13,2
1664;1851;2,9;18;52,2;26,5;13,8
1668;1887;3,07;18;55,3;25,8;14,2
1672;1920;3,24;18;58,3;25,5;14,9
1676;1952;3,4;18;61,2;25,1;15,4
1680;1989;3,6;18;64,8;24,6;16,0
1684;2021;3,8;18;68,4;24,5;16,8
1688;2066;4,07;18;73,3;23,8;17,4
1692;2098;4,29;18;77,2;23,1;17,9
1696;2143;4,52;18;81,4;22,6;18,4
1700;2171;4,72;18;85,0;22,6;19,2
1704;2198;4,98;18;89,6;22,0;19,7
1708;2230;5,2;18;93,6;21,8;20,4
1712;2265;5,47;18;98,5;21,1;20,8
1716;2293;5,7;18;102,6;21,2;21,7
1720;2330;5,97;18;107,5;20,6;22,2
1724;2351;6,25;18;112,5;20,3;22,8
1728;2402;6,55;18;117,9;20,0;23,6
1732;2443;6,87;18;123,7;19,7;24,3
1736;2474;7,28;18;131,0;19,1;25,0
1740;2513;7,64;18;137,5;18,8;25,9
1744;2546;8,0;18;144,0;18,4;26,4
1748;2577;8,4;18;151,2;18,1;27,4
1752;2602;8,8;18;158,4;17,6;27,9
1756;2627;9,15;18;164,7;17,4;28,7
1760;2670;9,48;18;170,6;17,1;29,3
1764;2695;9,9;18;178,2;16,9;30,1
1768;2731;10,2;18;183,6;16,9;31,0
1772;2766;10,53;18;189,5;16,6;31,5
1776;2809;10,81;18;194,6;16,5;32,1
1780;2823;11,18;18;201,2;16,2;32,7
1784;2850;11,58;18;208,4;16,3;33,9
1788;2894;11,88;18;213,8;16,2;34,6
1792;2914;12,29;18;221,2;16,0;35,4
1796;2960;12,59;18;226,6;16,0;36,3
1800;2985;13,12;18;236,2;15,8;37,2
1804;3026;13,5;18;243,0;15,6;37,9
1808;3055;14,04;18;252,7;15,5;39,2
