PWM (mus);RPM;Current (A);Voltage (V);Power (W);Efficiency (g/W);Force (N)
1256;2482;7,19;16;115,0;17,2;-19,8
1260;2440;6,89;16;110,2;17,6;-19,4
1264;2419;6,53;16;104,5;17,8;-18,6
1268;2369;6,29;16;100,6;18,0;-18,1
1272;2345;6,0;16;96,0;18,4;-17,6
1276;2306;5,75;16;92,0;18,5;-17,0
1280;2278;5,5;16;88,0;19,0;-16,7
1284;2248;5,3;16;84,8;19,0;-16,1
1288;2222;5,0;16;80,0;19,4;-15,6
1292;2199;4,8;16;76,8;19,7;-15,1
1296;2157;4,6;16;73,6;20,2;-14,9
1300;2140;4,4;16;70,4;20,4;-14,4
1304;2106;4,2;16;67,2;20,8;-14,0
1308;2081;3,98;16;63,7;21,2;-13,5
1312;2040;3,7;16;59,2;22,0;-13,0
1316;2001;3,58;16;57,3;21,9;-12,6
1320;1968;3,39;16;54,2;22,2;-12,0
1324;1936;3,2;16;51,2;22,7;-11,6
1328;1903;3,0;16;48,0;23,3;-11,2
1332;1870;2,84;16;45,4;24,3;-11,0
1336;1840;2,7;16;43,2;24,4;-10,5
1340;1807;2,4;16;38,4;26,6;-10,2
1344;1773;2,3;16;36,8;26,6;-9,8
1348;1738;2,1;16;33,6;28,1;-9,4
1352;1705;2,0;16;32,0;28,2;-9,0
1356;1667;1,9;16;30,4;28,6;-8,7
1360;1630;1,7;16;27,2;30,2;-8,2
1364;1589;1,6;16;25,6;30,7;-7,8
1368;1554;1,5;16;24,0;31,0;-7,4
1372;1519;1,4;16;22,4;32,0;-7,2
1376;1482;1,3;16;20,8;32,7;-6,8
1380;1448;1,2;16;19,2;33,8;-6,5
1384;1410;1,1;16;17,6;35,1;-6,2
1388;1362;1,0;16;16,0;36,3;-5,8
1392;1325;0,9;16;14,4;37,5;-5,4
1396;1285;0,8;16;12,8;40,0;-5,1
1400;1246;0,7;16;11,2;42,9;-4,8
1404;1199;0,66;16;10,6;42,1;-4,4
1408;1153;0,56;16;9,0;46,6;-4,2
1412;1113;0,5;16;8,0;48,2;-3,9
1416;1064;0,4;16;6,4;55,3;-3,5
1420;1016;0,4;16;6,4;50,3;-3,2
1424;970;0,37;16;5,9;49,8;-2,9
1428;916;0,3;16;4,8;53,9;-2,6
1432;869;0,2;16;3,2;73,7;-2,4
1436;810;0,2;16;3,2;65,2;-2,1
1440;758;0,2;16;3,2;56,7;-1,8
1444;697;0,1;16;1,6;93,6;-1,5
1448;641;0,1;16;1,6;79,4;-1,3
1452;578;0,1;16;1,6;65,2;-1,0
1456;513;0,05;16;0,8;107,7;-0,9
1460;450;0,05;16;0,8;85,0;-0,7
1464;388;0,05;16;0,8;62,4;-0,5
1468;317;0,05;16;0,8;45,4;-0,4
1472;0;0,0;16;0,0;0,0;0,0
1476;0;0,0;16;0,0;0,0;0,0
1480;0;0,0;16;0,0;0,0;0,0
1484;0;0,0;16;0,0;0,0;0,0
1488;0;0,0;16;0,0;0,0;0,0
1492;0;0,0;16;0,0;0,0;0,0
1496;0;0,0;16;0,0;0,0;0,0
1500;0;0,0;16;0,0;0,0;0,0
1504;0;0,0;16;0,0;0,0;0,0
1508;0;0,0;16;0,0;0,0;0,0
1512;0;0,0;16;0,0;0,0;0,0
1516;0;0,0;16;0,0;0,0;0,0
1520;0;0,0;16;0,0;0,0;0,0
1524;0;0,0;16;0,0;0,0;0,0
1528;0;0,0;16;0,0;0,0;0,0
1532;308;0,05;16;0,8;51,0;0,4
1536;375;0,05;16;0,8;68,0;0,5
1540;441;0,05;16;0,8;96,4;0,8
1544;508;0,05;16;0,8;124,7;1,0
1548;573;0,1;16;1,6;79,4;1,3
1552;630;0,1;16;1,6;96,4;1,5
1556;688;0,1;16;1,6;113,4;1,8
1560;749;0,2;16;3,2;68,0;2,2
1564;804;0,2;16;3,2;78,0;2,5
1568;859;0,2;16;3,2;90,7;2,9
1572;906;0,3;16;4,8;67,1;3,2
1576;962;0,4;16;6,4;56,0;3,6
1580;1007;0,4;16;6,4;62,4;4,0
1584;1057;0,5;16;8,0;54,4;4,4
1588;1104;0,5;16;8,0;59,0;4,7
1592;1148;0,6;16;9,6;53,4;5,1
1596;1195;0,7;16;11,2;49,8;5,6
1600;1237;0,8;16;12,8;47,1;6,0
1604;1279;0,8;16;12,8;50,0;6,4
1608;1319;0,9;16;14,4;47,2;6,8
1612;1359;1,0;16;16,0;45,1;7,2
1616;1409;1,1;16;17,6;44,1;7,8
1620;1444;1,2;16;19,2;42,5;8,2
1624;1480;1,3;16;20,8;41,9;8,7
1628;1516;1,45;16;23,2;39,1;9,1
1632;1549;1,5;16;24,0;39,5;9,5
1636;1583;1,6;16;25,6;38,8;9,9
1640;1629;1,8;16;28,8;35,9;10,3
1644;1668;2,0;16;32,0;34,3;11,0
1648;1699;2,1;16;33,6;34,0;11,4
1652;1740;2,2;16;35,2;33,6;11,8
1656;1766;2,4;16;38,4;32,2;12,4
1660;1802;2,6;16;41,6;30,7;12,8
1664;1835;2,8;16;44,8;29,7;13,3
1668;1865;2,9;16;46,4;29,9;13,9
1672;1901;3,1;16;49,6;29,0;14,4
1676;1930;3,3;16;52,8;28,1;14,8
1680;1961;3,5;16;56,0;27,5;15,4
1684;1994;3,7;16;59,2;26,8;15,9
1688;2031;3,9;16;62,4;26,5;16,5
1692;2071;4,1;16;65,6;25,8;16,9
1696;2106;4,3;16;68,8;25,6;17,6
1700;2129;4,58;16;73,3;24,9;18,2
1704;2160;4,7;16;75,2;25,0;18,8
1708;2190;5,0;16;80,0;24,2;19,3
1712;2219;5,2;16;83,2;23,9;19,9
1716;2244;5,42;16;86,7;23,6;20,5
1720;2266;5,69;16;91,0;23,3;21,2
1724;2305;5,9;16;94,4;23,1;21,8
1728;2342;6,19;16;99,0;22,4;22,2
1732;2392;6,4;16;102,4;22,2;22,8
1736;2416;6,7;16;107,2;22,2;23,8
1740;2446;7,0;16;112,0;21,7;24,3
1744;2475;7,4;16;118,4;21,3;25,2
1748;2498;7,7;16;123,2;20,9;25,8
1752;2538;8,04;16;128,6;20,6;26,5
1756;2584;8,4;16;134,4;20,3;27,3
1760;2609;8,7;16;139,2;19,8;27,6
1764;2639;9,03;16;144,5;19,7;28,4
1768;2663;9,34;16;149,4;19,3;28,9
1772;2688;9,69;16;155,0;19,2;29,8
1776;2711;10,01;16;160,2;19,1;30,5
1780;2735;10,4;16;166,4;18,7;31,1
1784;2766;10,68;16;170,9;18,6;31,7
1788;2809;10,9;16;174,4;18,4;32,2
1792;2822;11,3;16;180,8;18,3;33,0
1796;2854;11,64;16;186,2;18,1;33,7
1800;2888;11,93;16;190,9;17,9;34,2
1804;2903;12,38;16;198,1;17,7;35,1
1808;2934;12,79;16;204,6;17,6;36,1
1812;2973;13,14;16;210,2;17,5;36,8
1816;3002;13,54;16;216,6;17,3;37,4
1820;3042;13,99;16;223,8;17,1;38,2
1824;3065;14,46;16;231,4;16,8;38,9
1828;3108;14,86;16;237,8;16,6;39,6
1832;3125;15,4;16;246,4;16,5;40,6
1836;3153;15,86;16;253,8;16,3;41,5
1840;3180;16,41;16;262,6;16,2;42,5
1844;3204;16,97;16;271,5;15,9;43,0
1848;3242;17,42;16;278,7;15,7;43,8
1852;3260;18,0;16;288,0;15,7;45,1
1856;3299;18,5;16;296,0;15,3;45,3
1860;3308;19,13;16;306,1;15,2;46,5
1864;3351;19,59;16;313,4;15,0;47,1
1868;3379;20,15;16;322,4;14,8;47,9
1872;3406;20,67;16;330,7;14,6;48,4
1876;3428;21,13;16;338,1;14,6;49,3
1880;3438;21,8;16;348,8;14,4;50,1
1884;3455;22,38;16;358,1;14,2;50,8
1888;3494;22,81;16;365,0;14,1;51,4
1892;3516;23,28;16;372,5;13,9;51,8
1896;3527;23,9;16;382,4;13,7;52,2
1900;3533;23,83;16;381,3;13,8;52,5
