PWM (mus);RPM;Current (A);Voltage (V);Power (W);Efficiency (g/W);Force (N)
1100;3465;24,3;16;388,8;10,5;-40,7
1104;3468;24,3;16;388,8;10,4;-40,5
1108;3449;23,78;16;380,5;10,6;-40,2
1112;3421;23,25;16;372,0;10,7;-39,6
1116;3410;22,64;16;362,2;10,8;-39,0
1120;3395;22,07;16;353,1;11,0;-38,7
1124;3374;21,46;16;343,4;11,1;-38,2
1128;3356;20,98;16;335,7;11,3;-38,0
1132;3323;20,44;16;327,0;11,5;-37,5
1136;3307;19,9;16;318,4;11,7;-37,1
1140;3282;19,32;16;309,1;11,8;-36,6
1144;3248;18,74;16;299,8;12,0;-35,9
1148;3223;18,11;16;289,8;12,1;-35,2
1152;3207;17,53;16;280,5;12,3;-34,5
1156;3177;17,0;16;272,0;12,5;-34,0
1160;3153;16,45;16;263,2;12,6;-33,1
1164;3111;15,96;16;255,4;12,7;-32,5
1168;3086;15,48;16;247,7;12,9;-32,0
1172;3061;14,98;16;239,7;13,0;-31,1
1176;3050;14,43;16;230,9;13,2;-30,4
1180;3003;14,04;16;224,6;13,3;-29,9
1184;2988;13,55;16;216,8;13,6;-29,4
1188;2952;13,1;16;209,6;13,7;-28,6
1192;2918;12,74;16;203,8;13,8;-28,2
1196;2896;12,3;16;196,8;14,1;-27,7
1200;2865;11,93;16;190,9;14,2;-27,1
1204;2845;11,59;16;185,4;14,3;-26,6
1208;2821;11,2;16;179,2;14,4;-25,8
1212;2792;10,8;16;172,8;14,8;-25,5
1216;2759;10,5;16;168,0;14,9;-25,1
1220;2736;10,27;16;164,3;14,9;-24,5
1224;2712;9,9;16;158,4;15,0;-23,8
1228;2681;9,5;16;152,0;15,5;-23,5
1232;2661;9,2;16;147,2;15,5;-22,8
1236;2629;8,9;16;142,4;15,7;-22,4
1240;2599;8,6;16;137,6;16,0;-22,0
1244;2576;8,2;16;131,2;16,1;-21,2
1248;2548;7,9;16;126,4;16,5;-20,8
1252;2517;7,57;16;121,1;16,7;-20,2
