PWM (mus);RPM;Current (A);Voltage (V);Power (W);Efficiency (g/W);Force (N)
1100;2976;17,03;12;204,4;14,2;-29,0
1104;2969;17,08;12;205,0;14,2;-29,2
1108;2971;16,76;12;201,1;14,4;-28,9
1112;2933;16,52;12;198,2;14,3;-28,3
1116;2916;16,08;12;193,0;14,4;-27,9
1120;2898;15,69;12;188,3;14,7;-27,6
1124;2874;15,31;12;183,7;14,8;-27,2
1128;2852;15,0;12;180,0;14,8;-26,7
1132;2841;14,51;12;174,1;14,9;-26,0
1136;2817;14,17;12;170,0;15,3;-25,9
1140;2792;13,82;12;165,8;15,5;-25,6
1144;2773;13,46;12;161,5;15,4;-24,9
1148;2755;13,08;12;157,0;15,5;-24,4
1152;2728;12,8;12;153,6;15,8;-24,3
1156;2714;12,4;12;148,8;16,0;-23,9
1160;2689;12,0;12;144,0;16,3;-23,4
1164;2676;11,66;12;139,9;16,5;-23,0
1168;2654;11,31;12;135,7;16,6;-22,5
1172;2615;11,1;12;133,2;16,7;-22,3
1176;2610;10,74;12;128,9;16,9;-21,8
1180;2576;10,5;12;126,0;17,0;-21,4
1184;2560;10,11;12;121,3;17,3;-21,0
1188;2533;9,84;12;118,1;17,5;-20,7
1192;2510;9,5;12;114,0;17,6;-20,1
1196;2482;9,2;12;110,4;18,0;-19,8
1200;2457;8,9;12;106,8;18,2;-19,5
1204;2443;8,6;12;103,2;18,2;-18,8
1208;2412;8,3;12;99,6;18,5;-18,5
1212;2383;8,0;12;96,0;18,8;-18,1
1216;2365;7,7;12;92,4;19,2;-17,8
1220;2335;7,4;12;88,8;19,5;-17,3
1224;2318;7,1;12;85,2;19,5;-16,6
1228;2284;6,9;12;82,8;19,9;-16,5
1232;2260;6,6;12;79,2;20,3;-16,1
1236;2231;6,4;12;76,8;20,3;-15,6
1240;2208;6,2;12;74,4;20,6;-15,3
1244;2189;5,99;12;71,9;20,8;-14,9
1248;2159;5,77;12;69,2;21,2;-14,7
1252;2140;5,5;12;66,0;21,8;-14,4
1256;2106;5,32;12;63,8;21,9;-14,0
1260;2082;5,17;12;62,0;22,1;-13,7
1264;2057;4,9;12;58,8;22,7;-13,3
1268;2038;4,7;12;56,4;22,9;-12,9
1272;2006;4,56;12;54,7;23,4;-12,8
1276;1982;4,3;12;51,6;23,6;-12,2
1280;1955;4,1;12;49,2;24,2;-11,9
1284;1925;3,9;12;46,8;24,6;-11,5
1288;1898;3,73;12;44,8;24,9;-11,2
1292;1869;3,6;12;43,2;25,1;-10,8
1296;1846;3,4;12;40,8;25,6;-10,4
1300;1815;3,3;12;39,6;25,8;-10,2
1304;1788;3,1;12;37,2;26,7;-9,9
1308;1763;2,98;12;35,8;26,9;-9,6
1312;1737;2,8;12;33,6;27,7;-9,3
1316;1708;2,7;12;32,4;27,9;-9,0
1320;1681;2,41;12;28,9;30,1;-8,7
1324;1651;2,3;12;27,6;30,2;-8,3
1328;1620;2,1;12;25,2;31,5;-7,9
1332;1588;2,0;12;24,0;32,1;-7,7
1336;1557;1,9;12;22,8;32,4;-7,4
1340;1529;1,8;12;21,6;33,4;-7,2
1344;1504;1,7;12;20,4;34,0;-6,9
1348;1470;1,6;12;19,2;34,3;-6,6
1352;1439;1,5;12;18,0;35,5;-6,4
1356;1411;1,31;12;15,7;38,4;-6,0
1360;1375;1,3;12;15,6;36,6;-5,7
1364;1338;1,2;12;14,4;37,8;-5,4
1368;1309;1,1;12;13,2;39,2;-5,2
1372;1276;1,0;12;12,0;41,2;-4,9
1376;1246;0,9;12;10,8;43,7;-4,7
1380;1211;0,8;12;9,6;45,8;-4,4
1384;1169;0,8;12;9,6;43,5;-4,2
1388;1134;0,7;12;8,4;46,4;-3,9
1392;1099;0,6;12;7,2;51,0;-3,7
1396;1057;0,5;12;6,0;56,7;-3,4
1400;1023;0,5;12;6,0;52,9;-3,2
1404;986;0,41;12;4,9;59,9;-2,9
1408;944;0,4;12;4,8;55,8;-2,7
1412;903;0,4;12;4,8;51,0;-2,4
1416;865;0,3;12;3,6;63,0;-2,3
1420;820;0,29;12;3,5;58,7;-2,0
1424;777;0,2;12;2,4;73,7;-1,8
1428;737;0,2;12;2,4;68,0;-1,6
1432;690;0,2;12;2,4;60,5;-1,5
1436;643;0,1;12;1,2;102,1;-1,2
1440;597;0,1;12;1,2;90,7;-1,1
1444;549;0,1;12;1,2;75,6;-0,9
1448;499;0,05;12;0,6;121,0;-0,7
1452;448;0,05;12;0,6;98,3;-0,6
1456;400;0,05;12;0,6;75,6;-0,5
1460;346;0,05;12;0,6;60,5;-0,4
1464;0;0,0;12;0,0;0,0;0,0
1468;0;0,0;12;0,0;0,0;0,0
1472;0;0,0;12;0,0;0,0;0,0
1476;0;0,0;12;0,0;0,0;0,0
1480;0;0,0;12;0,0;0,0;0,0
1484;0;0,0;12;0,0;0,0;0,0
1488;0;0,0;12;0,0;0,0;0,0
1492;0;0,0;12;0,0;0,0;0,0
1496;0;0,0;12;0,0;0,0;0,0
1500;0;0,0;12;0,0;0,0;0,0
1504;0;0,0;12;0,0;0,0;0,0
1508;0;0,0;12;0,0;0,0;0,0
1512;0;0,0;12;0,0;0,0;0,0
1516;0;0,0;12;0,0;0,0;0,0
1520;0;0,0;12;0,0;0,0;0,0
1524;0;0,0;12;0,0;0,0;0,0
1528;0;0,0;12;0,0;0,0;0,0
1532;0;0,0;12;0,0;0,0;0,0
1536;0;0,0;12;0,0;0,0;0,0
1540;342;0,05;12;0,6;68,0;0,4
1544;395;0,05;12;0,6;90,7;0,5
1548;444;0,05;12;0,6;121,0;0,7
1552;494;0,1;12;1,2;79,4;1,0
1556;542;0,1;12;1,2;94,5;1,1
1560;592;0,1;12;1,2;109,6;1,3
1564;634;0,1;12;1,2;128,5;1,5
1568;680;0,2;12;2,4;73,7;1,8
1572;726;0,2;12;2,4;83,2;2,0
1576;768;0,2;12;2,4;92,6;2,2
1580;812;0,3;12;3,6;70,6;2,5
1584;851;0,3;12;3,6;76,9;2,8
1588;892;0,4;12;4,8;64,3;3,1
1592;931;0,4;12;4,8;69,0;3,3
1596;971;0,5;12;6,0;61,2;3,7
1600;1009;0,5;12;6,0;65,8;3,9
1604;1044;0,6;12;7,2;59,2;4,3
1608;1084;0,7;12;8,4;54,5;4,6
1612;1121;0,7;12;8,4;58,3;4,9
1616;1152;0,8;12;9,6;53,9;5,2
1620;1186;0,8;12;9,6;57,2;5,5
1624;1227;1,0;12;12,0;49,1;5,9
1628;1263;1,0;12;12,0;52,2;6,3
1632;1291;1,1;12;13,2;49,5;6,5
1636;1322;1,2;12;14,4;47,6;6,8
1640;1354;1,3;12;15,6;45,6;7,1
1644;1385;1,4;12;16,8;45,1;7,6
1648;1424;1,5;12;18,0;43,8;7,9
1652;1453;1,6;12;19,2;43,2;8,3
1656;1485;1,7;12;20,4;42,0;8,6
1660;1515;1,8;12;21,6;41,4;8,9
1664;1539;2,0;12;24,0;38,7;9,3
1668;1567;2,1;12;25,2;38,3;9,7
1672;1599;2,2;12;26,4;38,0;10,0
1676;1632;2,3;12;27,6;37,6;10,4
1680;1653;2,5;12;30,0;36,1;10,8
1684;1686;2,8;12;33,6;33,9;11,4
1688;1716;2,9;12;34,8;33,4;11,6
1692;1741;3,0;12;36,0;33,3;12,0
1696;1769;3,2;12;38,4;32,1;12,3
1700;1796;3,3;12;39,6;32,3;12,8
1704;1824;3,5;12;42,0;31,2;13,1
1708;1854;3,67;12;44,0;30,7;13,5
1712;1880;3,8;12;45,6;30,7;14,0
1716;1911;4,0;12;48,0;29,9;14,3
1720;1931;4,2;12;50,4;29,4;14,8
1724;1964;4,4;12;52,8;29,0;15,3
1728;1996;4,6;12;55,2;28,3;15,6
1732;2017;4,8;12;57,6;28,3;16,3
1736;2046;5,0;12;60,0;27,9;16,7
1740;2070;5,2;12;62,4;27,4;17,1
1744;2083;5,4;12;64,8;27,3;17,7
1748;2118;5,69;12;68,3;26,6;18,2
1752;2143;5,8;12;69,6;26,5;18,5
1756;2169;6,0;12;72,0;26,5;19,1
1760;2190;6,3;12;75,6;25,4;19,2
1764;2229;6,5;12;78,0;25,2;19,6
1768;2244;6,7;12;80,4;25,3;20,3
1772;2269;7,0;12;84,0;24,8;20,9
1776;2304;7,2;12;86,4;24,7;21,3
1780;2330;7,5;12;90,0;24,2;21,8
1784;2345;7,8;12;93,6;23,9;22,4
1788;2391;8,0;12;96,0;23,7;22,7
1792;2411;8,32;12;99,8;23,4;23,3
1796;2432;8,64;12;103,7;23,1;24,0
1800;2456;8,9;12;106,8;23,1;24,6
1804;2482;9,24;12;110,9;22,6;25,1
1808;2508;9,5;12;114,0;22,5;25,6
1812;2535;9,82;12;117,8;22,2;26,2
1816;2562;10,14;12;121,7;21,8;26,5
1820;2585;10,45;12;125,4;21,6;27,1
1824;2613;10,72;12;128,6;21,6;27,8
1828;2620;11,1;12;133,2;21,4;28,4
1832;2661;11,32;12;135,8;21,1;28,7
1836;2681;11,62;12;139,4;21,0;29,3
1840;2698;12,01;12;144,1;20,9;30,1
1844;2721;12,37;12;148,4;20,5;30,4
1848;2751;12,61;12;151,3;20,4;30,8
1852;2773;13,04;12;156,5;20,2;31,6
1856;2782;13,44;12;161,3;20,0;32,3
1860;2808;13,7;12;164,4;19,8;32,6
1864;2835;14,11;12;169,3;19,6;33,2
1868;2859;14,4;12;172,8;19,6;33,8
1872;2879;14,76;12;177,1;19,2;34,0
1876;2904;15,13;12;181,6;19,0;34,5
1880;2923;15,52;12;186,2;18,8;35,0
1884;2937;15,87;12;190,4;18,7;35,7
1888;2962;16,3;12;195,6;18,6;36,4
1892;2976;16,74;12;200,9;18,4;37,1
1896;2994;16,86;12;202,3;18,2;36,9
1900;2995;16,91;12;202,9;18,3;37,1
