0.000, 2.720368, 1.649655, 0.876587, 2.421277, 0.238000, -0.169000, 0.114500, 0.473000, -0.002513, 0.103044, 0.011310, 0.194779
0.020, 2.725137, 1.646289, 0.878884, 2.430795, 0.237937, -0.166940, 0.114724, 0.476874, -0.003809, 0.102575, 0.011085, 0.191881
0.040, 2.729905, 1.642964, 0.881185, 2.440390, 0.237847, -0.164889, 0.114944, 0.480690, -0.005165, 0.102139, 0.010890, 0.188962
0.060, 2.734670, 1.639680, 0.883491, 2.450061, 0.237729, -0.162846, 0.115161, 0.484448, -0.006585, 0.101745, 0.010718, 0.186019
0.080, 2.739433, 1.636437, 0.885801, 2.459806, 0.237583, -0.160810, 0.115374, 0.488146, -0.008072, 0.101401, 0.010565, 0.183049
0.100, 2.744192, 1.633235, 0.888115, 2.469625, 0.237405, -0.158781, 0.115584, 0.491784, -0.009625, 0.101114, 0.010424, 0.180049
0.120, 2.748948, 1.630073, 0.890433, 2.479517, 0.237196, -0.156757, 0.115792, 0.495362, -0.011247, 0.100890, 0.010289, 0.177017
0.140, 2.753699, 1.626952, 0.892756, 2.489479, 0.236954, -0.154737, 0.115997, 0.498879, -0.012935, 0.100733, 0.010156, 0.173950
0.160, 2.758445, 1.623871, 0.895083, 2.499512, 0.236677, -0.152719, 0.116199, 0.502334, -0.014690, 0.100648, 0.010018, 0.170843
0.180, 2.763185, 1.620831, 0.897413, 2.509612, 0.236365, -0.150703, 0.116398, 0.505726, -0.016508, 0.100637, 0.009871, 0.167696
0.200, 2.767918, 1.617831, 0.899748, 2.519781, 0.236015, -0.148685, 0.116595, 0.509055, -0.018387, 0.100701, 0.009711, 0.164505
0.220, 2.772644, 1.614872, 0.902086, 2.530015, 0.235628, -0.146666, 0.116787, 0.512319, -0.020323, 0.100841, 0.009534, 0.161269
0.240, 2.777362, 1.611953, 0.904429, 2.540314, 0.235200, -0.144643, 0.116977, 0.515518, -0.022311, 0.101056, 0.009336, 0.157987
0.261, 2.782071, 1.609074, 0.906775, 2.550677, 0.234733, -0.142615, 0.117162, 0.518651, -0.024345, 0.101344, 0.009116, 0.154659
